Id,Predicted
19307997,438.42746
20176193,125.21459
19485371,60.512783
13079990,66.57315
22339757,56.896927
7717071,137.8587
19416433,137.17944
28602814,202.9957
3167768,241.44952
22026277,354.15262
20982450,120.01632
16271468,110.73192
14445183,115.203674
6040356,126.88667
11484489,176.45973
29541600,205.4664
2793834,152.0733
588677,152.49008
22940375,222.46753
26126728,181.44565
8072662,159.44702
26250574,164.39929
19568889,94.36531
2048796,70.823456
24938213,102.84152
8555036,144.94695
22108302,101.05669
3625656,110.32574
11238715,70.15772
5041360,105.85439
3989564,128.96805
22662308,169.95041
17728208,107.98796
13597896,57.82618
13083638,146.30511
8760775,107.70436
25518930,189.64029
17256297,101.77637
1975069,131.01933
479285,83.54419
22050058,71.2426
21844210,290.5696
25835470,68.999596
27853108,136.46846
9486111,219.49126
23148095,59.46629
26603929,92.265945
6272181,86.21485
22674576,89.01422
20758205,241.52536
22928982,468.18338
28582815,139.7696
13406622,429.85767
24429072,224.53838
4031951,108.67606
25380861,178.08629
18946416,201.39171
9028856,455.8994
29455324,250.72537
23342877,65.18537
28333465,62.54543
29335812,118.42061
15621557,72.7602
22240208,312.28006
14851292,148.81874
13649833,72.7105
6843556,200.39124
4881610,99.08439
14125183,60.855797
13374115,77.65585
12495831,145.57324
11963123,132.07246
16024539,135.86726
4351563,147.51964
27141784,149.96492
14684699,148.09087
5031569,132.10127
9046203,136.7182
16238779,549.5595
4629359,228.7077
3811186,86.80578
8703711,79.486565
26814509,415.35208
17556436,89.02056
27368543,214.7841
16456543,84.64762
190542,144.90451
18753645,144.73364
14928996,77.91628
24918804,159.30101
29569480,88.59266
4434797,84.5577
7403108,145.88107
14070967,125.037575
28624477,126.064995
7632182,103.83216
27507052,63.48556
10681555,144.70448
26224149,96.71678
15010339,76.77993
21979587,133.20918
491123,80.29909
1703303,146.38074
13276073,232.69742
10336325,175.33958
18504631,66.28471
12983221,179.73677
28893280,112.23311
10995810,104.15979
29490463,63.469902
19476873,201.62064
11693193,199.3945
3766496,89.689476
13936825,75.679695
9331413,184.57086
15144105,61.67706
25763994,80.961945
18457273,75.16554
10120414,202.04324
26770369,56.93891
26035905,74.9548
7367864,248.05522
18736642,152.75304
21190435,107.3617
3750917,69.96383
29260109,506.42188
26236287,48.186546
23744530,194.5368
22937557,57.964935
11069190,81.426414
14535422,94.633095
29615038,54.35629
28978145,137.13893
9116831,175.24709
4728136,55.539085
26337553,63.532562
20136238,98.02322
19343700,149.20486
16409970,150.26006
25740704,175.10632
27604010,276.87698
29490455,278.89627
9429015,179.98476
17575407,63.51862
17481087,215.22472
29391342,205.21146
16163768,98.18286
21139341,214.99774
301372,69.153564
18824754,74.64211
28652436,75.61523
14762427,105.605095
26338854,99.31339
23902815,70.72145
25289041,303.83353
4325244,168.35033
2695372,194.51906
715070,146.8173
21293326,103.22159
4235620,111.19267
27573123,81.4546
5562710,151.79604
6227341,100.74767
9955143,158.48866
22838613,93.439964
8736291,110.017105
22339572,62.883133
7542840,116.75695
11957593,61.427326
25413957,203.80656
8371626,94.13124
13485043,177.44472
20775042,61.607822
15468790,99.904724
7434615,192.95853
26401133,228.54175
7082866,184.18588
9883870,243.6471
13092522,60.833668
26716581,134.78365
18840683,71.033966
13996108,223.50269
26039386,134.26617
27584712,92.13926
1771989,80.77656
13431961,238.38109
14365130,121.87045
23480798,112.633224
24538997,80.70532
20333200,90.89075
16163482,346.74634
294353,81.60275
16214500,97.183975
12325291,431.3837
918049,279.4314
14110144,186.26991
28670804,196.29015
20504269,98.74607
258740,74.851974
22249905,199.77281
29282847,167.52779
14153242,163.75493
6452188,201.07635
22878070,302.2584
14403485,80.35704
12990172,108.51316
12970522,169.11096
19429274,73.289085
13788900,99.8681
21026558,119.67692
15079046,106.017204
20516112,89.882996
18354821,64.10909
17791923,99.95509
25033991,174.65079
27283118,184.68587
17790276,134.68506
21217451,92.84186
4244479,176.61217
19431893,64.081505
7458297,63.438187
21838658,84.17081
19764136,176.27704
24352306,107.451584
3951363,61.57328
3758296,120.41308
8241894,83.95759
12050280,105.38487
27133188,76.84253
22153425,118.4492
4447524,212.14902
21550105,56.0116
3929669,136.92645
19787238,142.85272
12806016,196.87238
16544473,203.08707
2267692,113.54277
756892,217.15694
17450190,83.01427
83243,92.49478
17590481,350.2409
6919971,154.01662
276120,184.94917
24313537,215.56252
18361399,160.09161
8964308,129.12128
1604488,131.02747
7973484,152.80844
20569589,211.49562
24444586,65.44334
17298,170.39816
26197763,65.777016
2284454,619.8729
16634804,83.46073
2552938,177.96758
26950547,186.81944
25183760,211.58374
10175187,66.36925
19384143,182.06949
8625398,199.18138
6926686,92.10883
27338569,90.82612
26258306,345.24335
6014327,126.554276
26475819,56.087757
13115688,139.60223
3344383,229.3138
27435179,76.368286
3944737,122.56021
23644347,57.02069
21780636,200.68903
5682992,108.50175
253815,220.0198
10038776,51.150486
6809332,225.05182
15037251,138.69969
7516992,123.19977
19307798,123.7658
1132201,84.00601
4359703,188.92769
976167,116.23091
20827546,95.58523
21171726,167.7691
26735765,67.91791
15494542,108.32238
10289124,140.16283
24678015,78.707954
9089306,189.43028
21211033,106.825005
16740779,109.81692
8504231,115.74012
25949165,68.08065
3359001,102.038086
24583519,85.82104
3850493,138.37714
19530652,89.89829
19409691,214.33144
17881079,138.24825
23122670,115.05531
16867729,78.75092
11159781,41.67128
16364491,185.5075
22304581,79.18937
5409372,154.17395
23484328,93.692245
5816154,82.931305
13619661,103.22999
16648750,157.88515
19298911,63.974174
21593872,81.136566
23903189,89.962006
14024257,106.519394
25317793,57.790325
1479113,72.91506
13604994,74.866
10475047,76.1266
2303583,203.27467
16050081,169.4336
27952152,46.04403
17152350,189.7993
19969420,106.145966
25101138,250.17639
10050847,72.221535
11888948,155.1695
2127713,122.38655
4948953,107.76865
6297613,79.25409
16679726,102.7435
9843826,224.83018
21422090,56.845615
18748170,70.85052
3826037,49.645653
840103,86.12684
13004741,103.76449
27018851,154.63164
9247923,197.36127
7808003,198.47934
915020,147.26501
19787716,153.70741
9318504,129.77519
15412415,99.41233
28302975,253.83835
24538208,174.30255
391948,48.120167
6607833,111.126144
8045421,196.41354
20904409,93.4622
25946172,62.362415
9512419,58.379925
26951357,73.922516
10338696,68.45034
3352608,314.2897
28491822,138.15181
29630309,74.2525
20586035,55.954334
24390991,380.02133
29313136,113.36613
28127009,63.92949
26747409,51.343014
25292558,116.21101
10212686,77.1916
20741563,70.640495
4482783,95.60701
9464046,73.55757
635282,163.27806
9754751,151.17258
25816212,176.56058
21678001,134.64244
10318675,91.85208
6048412,396.0102
16027312,134.57812
23540017,80.14346
23545634,113.35852
24823077,65.83563
8989380,96.58987
27306234,96.546906
23355364,330.82135
21658519,219.17175
27967972,55.75231
28510269,59.529366
23002371,96.69781
7116670,77.954
23875454,107.523544
3038614,144.07722
7205064,170.67667
16380258,42.98613
29382702,195.29488
16514808,53.582333
14710717,78.19948
14201811,79.37381
23291441,44.290005
21845154,195.45146
521522,81.9277
11491051,158.43849
13997415,171.61203
1645181,121.729576
6758846,199.09587
27901272,120.75905
18517584,136.46878
19911921,155.37381
13548101,114.0058
25995800,237.89764
18754907,90.83745
13908291,383.90793
27964166,211.77844
10972514,129.76413
19698644,177.99405
29435698,167.24588
1637178,171.28285
8547691,103.25541
29052983,110.10716
259946,102.74298
17405775,78.85684
2660576,55.75456
7094539,218.75342
9831392,136.17604
8119018,72.536835
12070965,113.052345
27366434,192.96034
16122223,83.36238
28680576,83.482475
4756280,72.09058
11849017,205.26314
19981889,69.93542
6660373,81.75472
26258407,190.64375
17847644,111.79508
12604187,175.63712
11007370,374.2019
27975725,42.83347
9960135,57.828583
28182409,94.120895
16394193,64.896
22885310,64.20221
3553679,109.13128
20228476,66.510086
25933116,180.40451
8052841,181.39198
7177958,175.25754
13378643,129.33858
2204397,179.67564
22866619,169.51413
12287479,79.74674
6759264,65.63316
26199962,142.08582
3531190,269.9298
15067291,75.39187
21343278,119.9876
23256946,100.66477
12346131,127.83356
12972320,413.88354
62230,84.84191
25262332,98.212204
19348233,96.02295
289995,150.5552
20786225,12.444972
28471411,565.2364
17269342,180.01128
15113377,135.64001
9572448,88.86703
6329973,126.98679
212544,136.82755
6956274,63.080666
7750282,118.91084
272706,124.10706
26893530,60.95043
16333699,52.160786
20540868,137.6625
1972126,532.78265
6937897,73.076355
6113839,259.6622
14851530,89.275764
17861841,77.99187
887292,144.71306
13258556,149.21848
6168663,85.011856
9280902,130.28229
258686,73.45308
17531493,103.33712
26000559,61.981274
23108981,223.0508
29458518,195.50946
26107882,524.2747
12547357,79.0061
19069915,115.81647
27520341,212.28348
12894048,49.535103
6845877,140.96815
28531920,264.85385
9347368,291.73727
22206760,69.31481
20799199,183.25456
14330038,147.56837
18655581,167.66689
29536152,647.73737
21827433,234.6571
28862785,147.93263
29680421,179.59715
19945974,134.5694
7748422,103.94567
14663344,173.99004
9733227,115.98792
19811020,102.602036
18720911,110.108284
11320246,99.39647
16667109,91.648415
27611223,66.70848
18511001,141.38232
6346456,243.93457
19455284,120.30599
13094250,84.22739
15917981,285.49002
4783674,90.36444
18777640,65.59666
893853,208.33095
26934498,124.33531
22278941,100.43899
21081172,512.0087
121473,197.1813
13771885,72.49268
19750474,145.79346
16869999,72.11979
23678832,100.39985
20744786,267.57806
27953850,56.630745
26497309,177.78963
12652964,65.8327
22232328,284.1533
24538544,182.66418
14894267,149.6403
9838523,55.039238
13300113,73.32962
21593823,144.91357
21121688,97.15552
22929942,141.52739
7265079,95.47554
13377443,61.989983
20073605,106.60967
7202612,71.45085
21476172,180.84813
12379298,136.80083
9825967,93.639435
13959346,107.478714
302309,260.89215
19413670,96.46385
14332210,130.3001
16981845,201.37524
16630483,162.88623
3209980,94.503426
29410763,357.55273
20611,100.90177
19785676,81.11587
27544201,144.53317
21610552,84.611465
9487684,178.62228
2919885,79.29038
26420986,166.6814
27573342,254.14105
6986781,225.52596
20009122,88.72078
2730497,121.40323
16321789,96.33469
29521447,77.99186
5507371,76.454865
21516275,192.3412
22531031,111.20721
22016473,92.51749
28736154,116.26495
21367901,85.54129
19158672,214.54059
21921178,111.02633
19604307,175.89635
2641730,69.26563
19624565,428.94025
14175040,152.01305
9444819,397.66345
27857198,393.99017
13190121,358.42606
13868137,73.2678
17080093,96.46385
3827442,226.08087
19872862,63.814163
13145377,165.52884
22229817,207.13588
2107939,52.72451
682155,130.25525
3568596,111.13819
6261971,102.45494
6553661,91.68854
5545560,188.076
24244827,116.11606
26549354,242.3113
21915201,517.5841
20149184,327.54373
22586473,123.530914
26828970,162.02501
11775127,171.25626
27237617,423.9628
14452731,66.86703
25168678,148.57098
22438519,91.718956
23502842,146.9679
21378123,83.44455
21631186,70.97791
20885420,114.622856
8186181,167.8663
24077483,91.33579
24779615,66.95661
24635562,49.801617
6576336,56.4707
21721898,181.90997
11148990,213.12923
19159503,98.46132
6923161,102.12872
24896533,79.68689
22971074,312.13306
28175959,116.26495
23917877,560.9504
27311481,202.34697
15984234,850.1689
27936839,81.53115
19861740,198.64429
5728014,205.56198
13733309,197.69377
27846079,169.07243
21568187,53.95318
9078739,74.3511
17477221,193.93713
5315955,153.62177
25475944,46.909798
3120723,152.73007
27053726,156.9185
24289926,107.47838
3387493,193.64929
29654002,194.92442
8107212,61.15995
12233692,43.428383
21736682,84.98035
9219472,70.95819
11165881,83.16729
24379887,152.77705
16368470,181.93742
7272453,147.54117
23614112,192.97226
23145289,239.93927
7742287,96.16061
11037023,82.972946
13308629,95.903046
22336905,350.0523
22401901,166.86931
16839686,113.3273
18988028,67.8615
6731373,59.931675
17795491,116.507324
28673212,174.6137
1763209,64.5374
10057826,177.06526
21825081,152.31212
18423707,228.83736
732700,226.84164
22768701,121.0899
27904840,813.6018
20296968,158.45909
22009072,60.370014
27248487,191.12946
20007899,128.01854
317905,83.27195
8251228,46.03494
320128,109.07968
6849137,84.522095
22518038,140.90732
16123619,611.1938
15488128,87.63488
722464,107.6157
21813814,69.603
27993666,77.61122
13654127,176.70062
27250504,66.98206
17940009,103.302895
413775,226.54274
23871290,64.29335
14023316,103.458115
11983644,108.0194
4739407,112.40726
15717865,59.44926
19194997,97.44903
26914676,206.99161
16673954,225.86133
21799470,65.95955
16311513,62.782314
13276680,92.68674
23109351,201.97604
21354840,190.94821
29359560,183.17416
14686954,59.33741
29057571,194.10335
11352664,144.78987
17314998,102.97963
24656108,176.0151
9312190,170.03307
18488058,101.62547
17813907,197.4645
15108887,61.229385
1914787,61.0092
25184175,211.58374
6423589,69.77179
3181834,1230.841
14106099,180.47815
325429,154.54782
17925111,117.47814
29588587,83.01066
16323024,208.0462
4700265,90.68964
3913635,163.09938
22051355,86.611755
23608727,56.12742
1813829,73.574905
1984390,147.77252
29232781,65.2571
25777661,88.52541
14705110,106.059944
17515734,52.23758
26425874,54.65201
11190701,88.22909
19430305,118.829185
26423738,213.22383
10075145,333.929
4063357,147.26028
2087663,139.23767
4126452,188.00726
1108309,141.36043
4891616,135.30748
25680422,86.48632
27926311,129.91
21514852,64.92844
25346842,69.70912
22045554,72.62089
12964763,130.51538
9596708,208.27942
27464651,197.80582
13802195,131.31694
15928889,54.72927
3662827,216.07571
10040649,81.01512
5538720,70.869316
11435936,215.2897
25255024,187.58157
24366897,76.39154
12447273,98.597664
3168120,187.83983
26874727,82.506836
332525,145.72508
10015258,121.014244
27304971,109.53435
29186776,92.895195
13666116,84.244484
24044039,58.364033
20498653,70.045845
25266169,79.404884
21733997,125.67554
21264068,126.64488
19341760,214.26955
17329090,213.28703
23594177,179.78398
7480229,67.680626
22906559,85.9234
2210281,85.44269
2636762,136.6952
18476851,63.737476
18402568,52.965267
17297467,61.212822
13394,74.939095
17623200,439.257
5040218,107.82322
466277,179.12965
24528299,87.073906
4824146,121.96493
7496203,86.594826
5613334,75.57222
20586070,350.8875
28543486,229.431
29306568,225.78435
3508355,158.71971
8423636,158.48636
